SOURCE OF WATER,WATER SYSTEM,PFAS RESULT,POTENTIAL PFAS USER,INDICATOR SCORE,DISTANCE
GW,GREATER FLEMING CO WT COMM,NS,SPURLOCK POWER STATION,25,10.99993481
SWP,WESTERN LEWIS RECTORVILLE WATER DISTRICT,ND,INTERNATIONAL PAPER,25,10.99772292
SWP,SLAUGHTERS WATER WORKS,NS,AHLSTROM-MIUNKSJO FILTRATION LLC,25,10.98552977
SWP,BOONE CO WATER & SEWER DISTRICT,NS,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,10.96888372
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,FEDERAL-MOGUL MOTORPARTS CORP,25,10.96523061
GW,KELLY ELEMENTARY SCHOOL,NS,MEYER TOOL INC,25,10.96141751
SWP,BLUEGRASS STATION,NS,SCHNEIDER ELECTRIC USA INC,25,10.95639952
SWP,BOONE-FLORENCE WATER COMMISSION,NS,SEGEPO-FSM INC,50,10.9557243
SWP,FLORENCE WATER & SEWER,NS,SEGEPO-FSM INC,50,10.9557243
SWP,MT WASHINGTON WATER COMPANY,NS,KOCH FILTER CORP,25,10.9541461
SW,FRANKFORT PLANT BOARD,1.35,YOKOHAMA INDUSTRIES AMERICAS (SEALANT DIV),100,10.95240298
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,TRANE INGERSOLL RAND,25,10.94859845
SWP,LEBANON JUNCTION WATER WORKS,NS,MOUSER CUSTOM CABINETRY,25,10.94269601
SW,WEBSTER CO WATER DISTRICT,NS,PHOENIX FABRICATORS & ERECTORS INC,50,10.93732606
SW,FRANKFORT PLANT BOARD,1.35,YOKOHAMA INDUSTRIES AMERICAS INC,25,10.92811249
GW,CENTER RIDGE WATER DISTRICT #2,NS,BRIGGS & STRATTON CORP,25,10.92544917
GW,CENTER RIDGE WATER DISTRICT #3,NS,BRIGGS & STRATTON CORP,25,10.92544917
GW,CENTER RIDGE WATER DISTRICT #4,NS,BRIGGS & STRATTON CORP,25,10.92544917
GW,CENTER RIDGE WATER SYSTEM,NS,BRIGGS & STRATTON CORP,25,10.92544917
GW,RIVER RIDGE PARK INC,NS,CRANE COMPOSITES INC,50,10.91359033
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,EUROFINS MWG OPERON LLC,100,10.91070758
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,BYK USA INC,50,10.9062674
GW,CARLISLE CO BOARD OF EDUCATION,NS,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,100,10.90521459
SWP,SACRAMENTO WATER WORKS,NS,BIG RIVERS ELECTRIC CORP WILSON STATION,25,10.89759142
SWP,OAK GROVE UTILITIES OFFICE,NS,PLYMOUTH ENGINEERED SHAPES,50,10.89753071
GW,ARLINGHAUS PROPERTY,ND,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,10.89442705
GW,TRAPP WATER COMPANY,ND,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,10.89442705
GW,RIVER RIDGE PARK INC,NS,SOUTHERN GRAPHIC SYSTEMS LLC,25,10.88595439
SWP,MT WASHINGTON WATER COMPANY,NS,CARDINAL ALUMINUM CO PLANT 1,50,10.88306796
SWP,SO WOODFORD CO WATER DISTRICT,NS,TRANE INGERSOLL RAND,25,10.87914901
SWP,SO ANDERSON WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,10.87655394
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,NASHVILLE WIRE PRODUCTS,50,10.87643207
GW,BAR X TRAILER PARK,NS,ARKEMA INC,100,10.87612626
GW,ARLINGHAUS PROPERTY,ND,KUSTOM GROUP,100,10.86546458
GW,TRAPP WATER COMPANY,ND,KUSTOM GROUP,100,10.86546458
GW,JONATHAN CREEK WATER DISTRICT,NS,EVONIK CORP CALVERT CITY PLANT,100,10.84222262
GWP,EMINENCE WATER WORKS,NS,KATAYAMA AMERICAN CO INC,25,10.84146799
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,CLARIANT CORP 12TH STREET FACILITY,100,10.83923108
SWP,ELKHORN WATER DISTRICT,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,10.83867874
SWP,PEAKS MILL WATER DISTRICT,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,10.83867874
GW,CUNNINGHAM WATER DISTRICT,NS,PILGRIM'S PRIDE CORP MAYFIELD KY FEED MILL,25,10.83699122
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,DONALDSON CO INC,25,10.83591609
SW,SHELBYVILLE WATER & SEWER COMMISSION,NS,STEEL TECHNOLOGIES LLC,50,10.82935124
SWP,NE WOODFORD CO WATER DISTRICT,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,10.82763479
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,ZEOCHEM LLC,100,10.82257187
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,10.82153454
SW,FRANKFORT PLANT BOARD,1.35,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,10.81540572
SWP,AUBURN MUN WATER WORKS,NS,CARPENTER CO,50,10.81435733
GW,KELLY ELEMENTARY SCHOOL,NS,GIVAUDAN FLAVORS CORP,25,10.79496737
SWP,CHRISTIAN CO WATER DISTRICT,NS,U S SMOKELESS TOBACCO CO EAGLE ONE,25,10.79018828
GWP,LAGRANGE UTILITIES COMMISSION,NS,STEEL TECHNOLOGIES LLC,50,10.77854819
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,10.77081101
SW,KUTTAWA WATER DEPARTMENT,NS,ARKEMA INC,100,10.76326031
SWP,LYON COUNTY WATER DISTRICT,NS,ARKEMA INC,100,10.76326031
GWP,CLOVERPORT WATER & SEWER SYSTEM,NS,SOUTHWIRE CO KENTUCKY PLANT,50,10.75392655
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,FORTERRA CONCRETE INDUSTRIES INC - ELIZABETHTOWN,50,10.74551343
SW,HARDIN COUNTY WATER DISTRICT #1,NS,FORTERRA CONCRETE INDUSTRIES INC - ELIZABETHTOWN,50,10.74551343
GW,GREATER FLEMING CO WT COMM,NS,GREEN TOKAI CO - MAYSVILLE,25,10.74337952
SWP,WESTERN LEWIS RECTORVILLE WATER DISTRICT,ND,GREEN TOKAI CO - MAYSVILLE,25,10.74032238
GW,OLDHAM COUNTY WATER DISTRICT,NS,FAURECIA INTERIOR SYSTEMS,25,10.73371637
SWP,MONTGOMERY CO WATER DISTRICT #1,NS,OLYMPIA LUMBER & POST INC,50,10.73054014
SWP,OAK GROVE UTILITIES OFFICE,NS,TRAD NA INC,25,10.72688263
GWP,LAGRANGE UTILITIES COMMISSION,NS,LOUISVILLE GAS & ELECTRIC CO - TRIMBLE COUNTY STATION,25,10.71984547
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,KOCH FILTER CORP,25,10.71525906
SWP,CENTERTOWN WATER SYSTEM,NS,US TVA PARADISE FOSSIL PLANT,25,10.69692984
SW,STANFORD WATER WORKS,ND,INTELLIGRATED SYSTEMS LLC,25,10.69362629
SW,SHELBYVILLE WATER & SEWER COMMISSION,NS,LIBERTAS COPPER LLC,50,10.69165791
GW,KELLY ELEMENTARY SCHOOL,NS,BOGE RUBBER & PLASTICS USA LLC,50,10.69116128
SWP,DRY RIDGE WATER WORKS COMMISSION,NS,DARLING INGREDIENTS INC,25,10.68702085
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,GE ALSTOM POWER,50,10.6728238
SW,BURKESVILLE WATER WORKS,NS,EQUITY GROUP KENTUCKY DIV LLC PROCESSING PLANT,25,10.66277401
SWP,MT WASHINGTON WATER COMPANY,NS,GE APPLIANCES A HAIER CO - APPLIANCE PARK,25,10.66083903
GW,BUZZARD ROCK RESORT AND MARINA,NS,EVONIK CORP,100,10.65744421
SWP,NE WOODFORD CO WATER DISTRICT,NS,FLORIDA TILE INC,50,10.6535724
SWP,WALTON WATERWORKS DEPARTMENT,NS,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,10.6520988
SWP,BLUEGRASS STATION,NS,WEBASTO ROOF SYSTEMS INC,25,10.6519546
GW,ARLINGHAUS PROPERTY,ND,LYONS EAST,50,10.65189873
GW,TRAPP WATER COMPANY,ND,LYONS EAST,50,10.65189873
SWP,ELKHORN WATER DISTRICT,NS,FLORIDA TILE INC,50,10.6466632
SWP,PEAKS MILL WATER DISTRICT,NS,FLORIDA TILE INC,50,10.6466632
SWP,MT WASHINGTON WATER COMPANY,NS,CALDWELL TANKS INC,50,10.63538198
SWP,NORTH HOPKINS WATER DISTRICT,NS,DYNO NOBEL INC,100,10.63183535
SWP,NORTH HOPKINS WATER DISTRICT,NS,ENSIGN-BICKFORD AEROSPACE & DEFENSE CO,50,10.63183535
GW,KELLY ELEMENTARY SCHOOL,NS,3M CO HEBRON,100,10.6290451
GW,RIVER RIDGE PARK INC,NS,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,10.62864736
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,GE ALSTOM POWER,50,10.61695862
SWP,FREDONIA WATER DEPARTMENT,NS,HYDRO GEAR,25,10.61340716
SWP,WEST SHELBY WATER DISTRICT,NS,FORD MOTOR CO KENTUCKY TRUCK PLANT,25,10.60445412
SW,CENTRAL CITY WATER & SEWER,1.21,DYNO NOBEL INC,100,10.59526619
SW,CENTRAL CITY WATER & SEWER,1.21,ENSIGN-BICKFORD AEROSPACE & DEFENSE CO,50,10.59526619
GW,BUZZARD ROCK RESORT AND MARINA,NS,WESTLAKE VINYLS INC,100,10.59378801
GW,RIVER RIDGE PARK INC,NS,GIVAUDAN FLAVORS CORP,25,10.58680484
SWP,SLAUGHTERS WATER WORKS,NS,GE AVIATION,25,10.58318464
SW,PARIS WATER WORKS,NS,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,10.5817161
SW,GRAYSON COUNTY WATER DISTRICT,NS,MTD CONSUMER GROUP INC - LEITCHFIELD FACILITY,25,10.57258772
SWP,SLAUGHTERS WATER WORKS,NS,ELECTRO CYCLE INC,50,10.57015721
GW,CAMP TURNABOUT,NS,IPSCO TUBULARS (KENTUCKY) INC,50,10.56852978
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,SCHNEIDER ELECTRIC USA INC,25,10.56447628
GW,KELLY ELEMENTARY SCHOOL,NS,GREIF PACKAGING LLC,50,10.55989709
SWP,BLUEGRASS STATION,NS,TRANE INGERSOLL RAND,25,10.54390072
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,TRI-STATE PLATING INC,50,10.54272613
SWP,OAK GROVE UTILITIES OFFICE,NS,METALSA SA DE CV,25,10.53828062
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,BLUEGRASS DAIRY & FOOD INC,25,10.5334585
SW,LOUISA WATER DEPARTMENT,NS,HUNTINGTON ALLOYS CORP,50,10.53339742
SWP,SLAUGHTERS WATER WORKS,NS,CENTURY ALUMINUM SEBREE LLC,50,10.53195117
SWP,AUBURN MUN WATER WORKS,NS,COVALENCE ADHESIVES,50,10.5212301
SWP,SLAUGHTERS WATER WORKS,NS,TYSON CHICKEN INC PROCESSING & RENDERING,25,10.521163
GW,RIVER RIDGE PARK INC,NS,GREIF PACKAGING LLC,50,10.51941621
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,OBARA CORP USA,25,10.51891228
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,AKEBONO BRAKE CORP-GLASGOW,25,10.51551755
GW,WESTERN MASON CO WATER DISTRICT,NS,WALD LLC,50,10.50763943
SWP,DRAKESBORO WATER DEPARTMENT,NS,KENAMERICAN RESOURCES INC,75,10.50597455
GW,POTTERS RANCH,NS,IOFINA CHEMICAL INC,100,10.49584472
SW,GREEN RIVER VALLEY WATER DISTRICT,NS,FELKER BROTHERS,50,10.49383134
SWP,HORSE CAVE WATER SYSTEM,NS,FELKER BROTHERS,50,10.49383134
SW,OHIO COUNTY WATER DISTRICT,NS,THE MUHLENBERG COUNTY COAL CO - PRIDE MINE,75,10.49104616
SWP,WEST SHELBY WATER DISTRICT,NS,RUSSTECH ADMIXTURES INC,100,10.48727122
GW,KELLY ELEMENTARY SCHOOL,NS,JOHNSON CONTROLS BATTERY GROUP LLC,50,10.48667427
GW,NORTH MARSHALL WATER DISTRICT #1,NS,ARCOSA MARINE PRODUCTS INC PLT 1245,50,10.48274934
SW,PADUCAH WATER WORKS,8.61,US DOE PADUCAH SITE,25,10.48224181
SWP,NORTH MERCER WATER DISTRICT,NS,GENERAL CABLE CORP,25,10.47713365
SW,BUTLER COUNTY WATER SYSTEM INC,NS,PERDUE CROMWELL PROCESSING PLANT,25,10.47352093
SWP,BUTLER WATER WORKS,NS,PERDUE CROMWELL PROCESSING PLANT,25,10.47352093
SWP,SO WOODFORD CO WATER DISTRICT,NS,SCHNEIDER ELECTRIC USA INC,25,10.47339772
GW,BAR X TRAILER PARK,NS,ISP CHEMICALS LLC,100,10.47308599
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,OBARA CORP USA,25,10.46395556
SWP,ISLAND WATER DEPARTMENT,NS,KENAMERICAN RESOURCES INC,75,10.45436439
SWP,NE WOODFORD CO WATER DISTRICT,NS,GENERAL CABLE CORP,25,10.44780022
SWP,VINE GROVE WATER DEPARTMENT,NS,AGC AUTOMOTIVE AMERICAS,50,10.44663676
SWP,NORTH MERCER WATER DISTRICT,NS,LEDVANCE LLC,50,10.44063215
SWP,ELKHORN WATER DISTRICT,NS,GENERAL CABLE CORP,25,10.43933075
SWP,PEAKS MILL WATER DISTRICT,NS,GENERAL CABLE CORP,25,10.43933075
GW,GALLATIN COUNTY WATER DISTRICT-Plant A,ND,CERTAINEED GYPSUM,50,10.43241236
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,FAURECIA INTERIOR SYSTEMS,25,10.4295951
SWP,LEWISBURG WATER WORKS,NS,EMERSON ELECTRIC CO,25,10.42649429
SW,WILLIAMSTOWN MUNICIPAL WATER DEPT,NS,DARLING INGREDIENTS INC,25,10.41868302
GW,KELLY ELEMENTARY SCHOOL,NS,SFC GLOBAL SUPPLY CHAIN INC FLORENCE KY,25,10.41022053
SW,MORGANTOWN WATER SYSTEM,NS,PERDUE CROMWELL PROCESSING PLANT,25,10.41013626
SWP,BLUEGRASS STATION,NS,KENTUCKY SMELTING TECHNOLOGY,50,10.38765293
GWP,E DAVIESS CO WATER ASSOC INC,NS,DAL-TILE CORP LEWISPORT PLANT,50,10.38324377
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,BASF CORP,100,10.38299895
SWP,HARRISON CO WATER ASSOC,NS,ENNIS FLINT - PARIS,100,10.37679197
SW,HARTFORD MUNICIPAL WATER WORKS,NS,THE MUHLENBERG COUNTY COAL CO - PRIDE MINE,75,10.36256467
SW,MARTIN CO WATER DISTRICT #1,NS,FEDERAL BUREAU OF PRISONS USP BIG SANDY,25,10.36156914
SW,KUTTAWA WATER DEPARTMENT,NS,ISP CHEMICALS LLC,100,10.35585383
SWP,LYON COUNTY WATER DISTRICT,NS,ISP CHEMICALS LLC,100,10.35585383
SWP,BLUEGRASS STATION,NS,CENTRAL MOTOR WHEEL OF AMERICA (DBA CMWA),25,10.35435458
GW,CAMP TURNABOUT,NS,ANDREWS LASER WORKS,25,10.35029768
SW,STANFORD WATER WORKS,ND,DANA SEALING MANUFACTURING LLC,50,10.34977159
GWP,E DAVIESS CO WATER ASSOC INC,NS,OWENSBORO GRAIN CO LLC,25,10.34801244
GW,RIVER RIDGE PARK INC,NS,JOHNSON CONTROLS BATTERY GROUP LLC,50,10.3413025
SWP,WALTON WATERWORKS DEPARTMENT,NS,IOFINA CHEMICAL INC,100,10.33788074
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,FEDERAL MEDICAL CENTER LEXINGTON,25,10.33320314
SWP,FORT CAMPBELL,NS,AMFINE CHEMICAL CORP,100,10.32465774
GW,CARROLL CO WATER DISTRICT #1,ND,EMERSON ELECTRIC CO,25,10.31845744
GWP,CLOVERPORT WATER & SEWER SYSTEM,NS,PRECOAT METALS,50,10.31722654
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,SUPERIOR SOLVENTS & CHEMICALS,100,10.31692663
SWP,ELKHORN WATER DISTRICT,NS,CERADYNE INC A 3M CO,25,10.31057578
SWP,PEAKS MILL WATER DISTRICT,NS,CERADYNE INC A 3M CO,25,10.31057578
SWP,MT WASHINGTON WATER COMPANY,NS,CARDINAL ALUMINUM CO PLAN T 3,50,10.31014787
GW,RIVER RIDGE PARK INC,NS,SFC GLOBAL SUPPLY CHAIN INC FLORENCE KY,25,10.30744586
SWP,CORINTH WATER DISTRICT,NS,GOTEC PLUS SUN LLC,50,10.29922666
SWP,NE WOODFORD CO WATER DISTRICT,NS,CERADYNE INC A 3M CO,25,10.29858335
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,WEBASTO ROOF SYSTEMS INC,25,10.29165073
SWP,WESTERN LEWIS RECTORVILLE WATER DISTRICT,ND,RIDLEY BLOCK OPERATIONS,25,10.28941522
GWP,EMINENCE WATER WORKS,NS,ARVIN SANGO INC,25,10.28793438
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,CERADYNE INC A 3M CO,25,10.28324139
SWP,GREEN TAYLOR WATER DISTRICT,NS,INGERSOLL RAND CAMPBELLSVILLE OPERATIONS,25,10.27152369
SW,CENTRAL CITY WATER & SEWER,1.21,BIG RIVERS ELECTRIC CORP WILSON STATION,25,10.26953545
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,DIVERSIFIED STRUCTURAL COMPOSITES,50,10.26752051
SWP,FREDONIA WATER DEPARTMENT,NS,TREEHOUSE FOODS,25,10.26226581
SW,WOOD CREEK WATER DISTRICT,NS,ACCENT MARBLE INC,50,10.25992907
GW,BAR X TRAILER PARK,NS,ESTRON CHEMICALS INC,100,10.25726679
GW,KELLY ELEMENTARY SCHOOL,NS,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,10.25642635
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,3M CO HEBRON,100,10.25440677
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,BOGE RUBBER & PLASTICS USA LLC,50,10.25199831
SWP,CUMBERLAND FALLS HIGHWAY WATER DISTRICT,NS,JACKSON WWS INC,25,10.25142459
SWP,SLAUGHTERS WATER WORKS,NS,AMG ALUMINUM NA LLC,50,10.24348337
SWP,HARRISON CO WATER ASSOC,NS,KENTUCKY SMELTING TECHNOLOGY,50,10.2336477
GW,TRINITY HOLINESS SCHOOL,NS,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,100,10.23038144
SWP,VANCEBURG ELECTRIC PLANT BOARD,1.4,NELSON BROTHERS LLC,100,10.22124135
GW,SOUTHLAND RANCH,NS,US DOE PADUCAH SITE,25,10.21115621
SW,GRAYSON COUNTY WATER DISTRICT,NS,ESCUE WOOD PRESERVING INC,50,10.21111515
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,RUSSTECH ADMIXTURES INC,100,10.20403096
SWP,FREDONIA WATER DEPARTMENT,NS,WYMAN GORDON CO,50,10.19454032
SWP,HARRISON CO WATER ASSOC,NS,ITW COMMERCIAL CONSTRUCTION NA,50,10.19257413
SW,BARBOURVILLE UTILITIES,2.42,KOWA KENTUCKY  INC,50,10.18509024
SWP,BOONE CO WATER & SEWER DISTRICT,NS,ESCO CORP,25,10.17952378
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,OLDCASTLE PRECAST INC,50,10.17439863
SW,MT STERLING WATER WORKS,NS,CTI FOODS,25,10.16497319
GW,WARSAW WATER WORKS,ND,NORTH AMERICAN STAINLESS,50,10.16388021
GW,LACENTER MUNICIPAL WATER CO,NS,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,100,10.16061537
SWP,HARRISON CO WATER ASSOC,NS,CENTRAL MOTOR WHEEL OF AMERICA (DBA CMWA),25,10.1573785
SW,RICHMOND UTILITIES,NS,NOVELIS INC,50,10.15152646
GWP,EMINENCE WATER WORKS,NS,SONOCO PROTECTIVE SOLUTIONS INC,50,10.14330853
SW,KUTTAWA WATER DEPARTMENT,NS,ESTRON CHEMICALS INC,100,10.13805554
SWP,LYON COUNTY WATER DISTRICT,NS,ESTRON CHEMICALS INC,100,10.13805554
GW,BAR X TRAILER PARK,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,10.13803373
GW,OLDHAM COUNTY WATER DISTRICT,NS,FORD MOTOR CO KENTUCKY TRUCK PLANT,25,10.13624175
GW,LOCUST VALLEY MOBILE EST,NS,VANDERBILT CHEMICALS LLC-MURRAY DIV,100,10.13605394
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,LOUISVILLE COOLER MANUFACTURING CO,50,10.1353107
SW,RICHMOND UTILITIES,NS,HYSTER YALE GROUP INC,25,10.13369371
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,LOUISVILLE PACKAGING,100,10.12786385
SWP,BEECH GROVE WATER SYSTEM,NS,PERDUE FARMS INC LIVERMORE FEEDMILL,25,10.12680758
SW,MCLEAN COUNTY REGIONAL WATER COMMISSION,NS,PERDUE FARMS INC LIVERMORE FEEDMILL,25,10.12680758
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,CERADYNE INC A 3M CO,25,10.12636873
GW,POTTERS RANCH,NS,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,10.12566096
SW,VERSAILLES WATER SYSTEM,NS,TOPY AMERICA INC,25,10.12106005
SW,KENTUCKY STATE PENITENTIARY,NS,HYDRO GEAR,25,10.11001048
GW,BUZZARD ROCK RESORT AND MARINA,NS,CYMETECH CORP,100,10.09544993
GW,BUZZARD ROCK RESORT AND MARINA,NS,LUBRIZOL ADVANCED MATERIALS INC,100,10.09544993
SWP,CANNONSBURG WATER DISTRICT,NS,VEOLIA WURTLAND PLANT,100,10.08422973
SWP,AUBURN MUN WATER WORKS,NS,DARLING INGREDIENTS INC,25,10.08286887
SWP,MARION COUNTY WATER DISTRICT,NS,INOAC GROUP NA LLC,50,10.07668422
SWP,VINE GROVE WATER DEPARTMENT,NS,ALTEC INDUSTRIES INC,25,10.07585501
SW,RICHMOND UTILITIES,NS,HITACHI AUTOMOTIVE SYSTEMS AMERICAS INC-BEREA KY,25,10.06993749
GW,BAR X TRAILER PARK,NS,CC METALS & ALLOYS LLC,50,10.06398042
GW,LOCUST VALLEY MOBILE EST,NS,PELLA CORP - MURRAY OPERATIONS,50,10.05595984
SW,DANVILLE CITY WATER WORKS,NS,HITACHI AUTOMOTIVE SYSTEMS AMERICAS INC-HK,25,10.05580627
SWP,JUDY WATER ASSOCIATION,NS,CTI FOODS,25,10.05243685
SWP,BLOOMFIELD WATER & SEWER DEPT,NS,TOWER AUTOMOTIVE,25,10.04993546
SW,NORTHERN KENTUCKY WATER DISTRICT Memorial PKWY WTP,5.75,DIVERSIFIED STRUCTURAL COMPOSITES,50,10.04579822
GW,RIVER'S EDGE CAMPGROUND,NS,NORTH AMERICAN STAINLESS,50,10.04165202
SWP,LAKE VILLAGE WATER ASSOCIATION,NS,LSC COMMUNICATIONS /DANVILLE,25,10.03997207
SW,BARBOURVILLE UTILITIES,2.42,CTA ACOUSTICS INC,25,10.03969358
SWP,AUBURN MUN WATER WORKS,NS,FRANKLIN PRECISION INDUSTRY,25,10.03785241
SWP,BLOOMFIELD WATER & SEWER DEPT,NS,RELADYNE,75,10.03483763
SWP,SHARPSBURG WATER DISTRICT,NS,CTI FOODS,25,10.03260203
SW,DANVILLE CITY WATER WORKS,NS,KENTUCKY UTILITIES CO - E W BROWN STATION,25,10.03065271
GW,BAR X TRAILER PARK,NS,WESTLAKE PVC CORP,100,10.02601518
SW,KUTTAWA WATER DEPARTMENT,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,10.01891208
SWP,LYON COUNTY WATER DISTRICT,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,10.01891208
SWP,SO ANDERSON WATER DISTRICT,NS,GREENHECK FAN CORP KENTUCKY,25,10.0149454
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,GREENHECK FAN CORP KENTUCKY,25,10.01482291
SW,PAINTSVILLE MUNICIPAL WATER WORKS,NS,ACTION PETROLEUM CO LTD,75,10.01106955
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,BLUEGRASS DAIRY & FOOD INC,25,10.00969769
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,AKEBONO BRAKE CORP-GLASGOW,25,9.993784245
SWP,MARION COUNTY WATER DISTRICT,NS,CELL PAK LLC,50,9.991320934
SW,NORTHERN KENTUCKY WATER DISTRICT FT Thomas WTP,11.9,DIVERSIFIED STRUCTURAL COMPOSITES,50,9.988082534
SWP,SO ANDERSON WATER DISTRICT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.971560936
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.971437801
SWP,BLOOMFIELD WATER & SEWER DEPT,NS,NPR OF AMERICA CORP,25,9.967706632
GW,BAR X TRAILER PARK,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,9.959148817
SW,CENTURY ALUMINUM SEBREE LLC,NS,ACCURIDE CORP,25,9.954571627
SW,KUTTAWA WATER DEPARTMENT,NS,CC METALS & ALLOYS LLC,50,9.95131557
SWP,LYON COUNTY WATER DISTRICT,NS,CC METALS & ALLOYS LLC,50,9.95131557
GW,CAMP TURNABOUT,NS,MPLX TERMINALS LLC - COVINGTON KY TERMINAL,75,9.944242498
SWP,BLUEGRASS STATION,NS,ENNIS FLINT - PARIS,100,9.944194465
GW,GREATER FLEMING CO WT COMM,NS,INTERNATIONAL PAPER,25,9.943289946
GW,GALLATIN COUNTY WATER DISTRICT-Plant A,ND,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,9.934456316
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,AGC AUTOMOTIVE AMERICAS,50,9.921546894
SW,HARDIN COUNTY WATER DISTRICT #1,NS,AGC AUTOMOTIVE AMERICAS,50,9.921546894
GWP,E DAVIESS CO WATER ASSOC INC,NS,MODERN WELDING CO OF OWENSBORO INC,50,9.916137144
SWP,SACRAMENTO WATER WORKS,NS,THE MUHLENBERG COUNTY COAL CO - PRIDE MINE,75,9.916116681
SWP,CANNONSBURG WATER DISTRICT,NS,PREGIS INNOVATIVE PACKAGING INC,50,9.914440358
SW,KUTTAWA WATER DEPARTMENT,NS,WESTLAKE PVC CORP,100,9.907811838
SWP,LYON COUNTY WATER DISTRICT,NS,WESTLAKE PVC CORP,100,9.907811838
SWP,VINE GROVE WATER DEPARTMENT,NS,METALSA LIGHT VEHILCLE USA - ELIZABETHTOWN,25,9.900089844
SWP,LAKE VILLAGE WATER ASSOCIATION,NS,MEGGITT AIRCRAFT BRAKING SYSTEMS KENTUCKY CORP,25,9.899254172
GW,BAR X TRAILER PARK,NS,EVONIK CORP CALVERT CITY PLANT,100,9.898334315
SWP,MORTONS GAP WATER DEPARTMENT,NS,DYNO NOBEL INC,100,9.887616073
SWP,MORTONS GAP WATER DEPARTMENT,NS,ENSIGN-BICKFORD AEROSPACE & DEFENSE CO,50,9.887616073
SWP,HARRISON CO WATER ASSOC,NS,AVANTOR PERFORMANCE MATERIALS,100,9.88721586
